total-sqft,house-sqft,price
6000,1422,136600
5650,1384,158400
5850,1249,144400
5900,1390,142400
7788,960,147900
8100,1075.20001,145000
7400,1224,144200
7400,1224,144200
7050,1288,125100
7050,1288,125100
8160,1485,158000
5500,667,106400
5650,1274.00001,143000
5650,1587,163200
6318,1860,163200
5650,1096,137900
5650,936,134500
5650,936,134500
10010,2768.2,210700
6500,1380,147400
5650,1056,137100
5650,1433.60001,105700
5763,2600,209000
6000,1168,71600
6070,1612.80001,148200
6000,1096,99400
6000,1124.00001,150100
5967,1094,141800
5967,1094,141800
5850,1249,144400
5850,1312,128200
5900,1062,134200
7788,960,147900
8100,1075.20001,145000
8100,1075.20001,145000
3700,3778,77800
8100,1075.20001,145000
7400,1224,144200
6840,1479,152200
6840,1479,152200
8160,1485,158000
8664,1006,135000
7000,1096,139600
5650,1094,148800
5500,667,106400
5650,1587,163200
8475,1120,148700
11700,2027.5,204100
5850,900,128200
5850,1096,121000
5850,1760,161100
5650,936,134500
10010,2768.2,210700
10010,2768.2,210700
6500,1380,147400
6500,1218,144700
6500,1282,140400
9750,1600.4,155200
9750,1600.4,155200
6650,1464,179800
5650,900,131400
5500,1044,137300
5650,1433.60001,105700
5700,1140,136900
5650,1200.5,151400
8250,2400.00001,225900
8250,2400.00001,225900
6750,1381,96000
5250,1372,65200
7050,1192,147000
6500,1019.20001,139900
6500,1572,146700
7100,1192,136900
7100,1192,136900
7100,1192,136900
15325,5152,242100
40280,12596,248600
7750,1576,151900
7750,1576,151900
7100,1192,136900
6900,1750,154800
6900,1750,154800
6900,1750,154800
17620,1152,121600
15560,1308,163100
28875,1170,107200
4910,1008.00001,114700
7865,1329,123000
5000,1008.00001,117000
6800,1400,164400
7650,1048.00001,131700
7650,1048.00001,131700
7650,1048.00001,131700
6750,1048.00001,128200
6750,1048.00001,128200
6750,1048.00001,128200
8100,1860,139800
8100,1860,139800
7000,2684,238600
7000,1662,174500
7000,1662,174500
7680,1024,138000
40280,12596,248600
40280,12596,248600
40280,12596,248600
15560,1308,163100
83635,41727,546000
83635,41727,546000
10341,1470,148500
5000,1008.00001,122100
5990,1260,134000
5000,1148.00001,119600
8040,899,138600
8040,899,138600
7650,1048.00001,131700
7650,1048.00001,131700
3600,1176.00001,132600
6000,1075.20001,122300
7000,1662,174500
7680,1024,138000
7680,1024,138000
0,51200,2450000
10640,1871.80001,131100
10640,1871.80001,131100
8320,1095.5,99000
6700,2112,153700
11250,1428,128100
11250,1428,128100
5500,974.40001,118700
7680,1024,138000
9600,1671,154400
11250,1428,128100
9700,3477.5,209500
9514,1834.5,157300
9514,1834.5,157300
8940,900,117200
8940,900,117200
18625,900,119900
7800,1566,151100
8750,1086,132900
7500,900,116200
7500,900,116000
8016,900,112100
10287,900,116300
7500,900,121400
10018,2558,207200
6360,1559,151300
6000,1473.6,145900
6240,1228.5,130400
5824,1655,134700
7445,1717,172400
7020,1591,157500
7020,1591,157500
6051,1706,167600
6006,1856,201800
6720,1446,150800
9514,1834.5,157300
9514,1834.5,157300
6250,1344,130500
7975,1356,140700
8940,900,117200
10125,900,125700
8750,1086,132900
8950,1015.00001,134000
10500,1467,135700
10500,1467,135700
7500,900,119000
7500,900,116200
8880,900,103800
7680,899,113200
7500,900,114900
6000,1275.25,127200
5824,1655,134700
8745,1522.5,155600
7301,1861,169900
6720,1446,150800
7500,1914.00001,160300
5865,1106,141600
7650,1775.5,139000
7650,1215,139400
7650,2120.5,176800
7500,974.40001,115700
6000,1473,131800
7650,1215,139400
6250,1066,144900
6250,1342.25,125100
6250,1342.25,125100
7500,942,125200
7500,1024,98900
7500,1834.5,153600
7500,1218,107400
7500,1218,107400
7500,1190.40001,103400
14088,2160.00001,180700
7500,2114,150600
18090,5254,485200
7500,973.00001,117900
7350,973.00001,127400
7500,2624,178200
7500,1518,140000
10800,2771.5,209400
10800,2965,224100
8325,3206,233100
6068,900,129600
6757,1008.00001,120700
8300,1200,120100
6944,1043,127500
6944,1043,127500
7500,974.40001,115700
14088,2160.00001,180700
14088,2160.00001,180700
6460,1038,130900
7500,1518,140000
7500,1338,129600
8550,4136,256400
11250,2906,232300
5780,900,124100
6757,1008.00001,120700
6500,1284,161900
6500,1284,161900
5000,1085.00001,127600
1135,850,47300
1725,850,55200
1692,850,60100
3085,850,61300
2240,850,60800
7800,1015,107200
7800,1015,107200
7500,4116,85000
7500,3270,157900
7500,3270,157900
5760,1075.20001,132000
6072,1344,89800
6072,1344,89800
6944,1043,127500
7313,900,126500
2285,850,60500
1692,850,60100
3085,850,61300
7650,1052,129700
7500,3411,161600
7500,3076,154200
7500,3270,157900
7500,4031,165000
6750,1195.20001,131400
6250,1075.20001,115400
6250,1075.20001,115500
7500,2716,151500
9000,1720,141600
9000,1720,141600
9000,1720,141600
0,5298,207900
5000,1400,125600
5000,1400,125600
5000,1041.60001,115500
5000,1041.60001,115500
5000,1116,130400
7650,1078,127900
7650,1078,127900
8250,1092,133400
7500,1015,130200
6072,1344,89800
7800,1015,106200
8262,1015,122400
8262,1015,122400
8262,1015,122400
7500,2716,151500
9525,3096,159900
5000,1116,130400
6500,1050.00001,117700
6500,1050.00001,117700
7480,1135.20001,138100
0,7560,241100
8000,988,115400
9375,3354,163700
9375,3354,163700
7800,1400,135400
7800,1120,122500
7800,1120,122500
7500,3153,98100
7500,3153,98100
6500,1102,125500
6000,1262,144200
5960,3938,216600
7475,2304,152800
9078,2925,233000
0,3596,198400
7840,1200,135500
8250,2234,110600
8400,2112,135800
8000,988,115400
7500,3354,167100
7500,3354,167100
7800,1013.25,119400
7650,1030,126700
9500,3187.20001,175200
7200,1376,117000
7200,1376,117000
0,11865.6,550000
0,3596,198400
8745,1664,140100
7600,1375,131400
7700,1257.60001,142000
7000,2901.60001,227300
7000,675,88300
10685,2301,202500
30000,7056.15,371000
7500,1254,126900
7100,1056,114600
7100,1056,114600
8318,1611,168800
7950,1224,158100
13281,2104.80001,154800
11100,3932,277600
8745,1664,140100
8745,1664,140100
7600,1375,131400
7600,1375,131400
7950,2283.60001,155200
8470,1795.2,152800
7200,1503.8,131000
9734,2219.6,193200
108900,29541,3128600
7100,1056,114600
8300,1862.40001,147500
13281,2104.80001,154800
5500,1204,92300
6850,2524,166700
7675,1176,151100
7750,1404,139700
7740,1404,134200
7500,1188,127800
9000,1090,142600
11280,903,144900
11280,903,144900
7500,900,117600
12000,899,130600
7000,1474,143700
7000,1474,143700
11100,3932,277600
8625,1170,130600
7200,3699,216100
7650,720,120500
5400,1175,131700
5400,1585.5,116700
7763,2630,191900
8550,1512,139000
5500,2594,181200
5520,1952.25,159400
5520,1952.25,159400
7750,2857.5,191700
7140,3000.00001,176100
5500,1204,92300
5500,1204,92300
6850,2524,166700
7740,1404,134200
7292,1075.20001,128900
7500,1200,140100
9000,1090,142600
6250,1209,128300
9000,1075.20001,117100
11280,903,144900
6275,1344,130800
7250,1107.20001,131600
8650,1248,135100
9750,900,128000
7500,1412,127200
9820,1397,111300
8400,2034,166000
8400,2034,166000
7560,1305,126000
7500,1348,132700
7500,1348,132700
7800,1208,143400
7560,1630,133500
8014,1630,143200
7560,1092,133100
7875,1706,138900
7650,2240,180100
8556,1984.65001,147900
8514,1469.55001,148000
7350,1532,156000
7350,1532,156000
9000,2241.60001,165400
8400,3068,198100
9650,2941.20001,202800
7950,1653.5,127400
7950,1653.5,127400
7500,1264,130100
7500,1264,130100
9000,1137,131500
7000,1474,143700
11250,1007,121000
11700,1344,141400
7062,1456,174000
7500,1348,133700
7950,1044,128500
7800,1690.5,158100
15000,1324,158800
7150,3146.40001,205000
9275,1192,126900
9275,1192,126900
9730,1008,140500
7920,1778,182700
8014,1630,143200
7560,1092,133100
6295,3058,223900
7550,2400,209300
7875,1706,138900
7975,3632.80001,215200
10240,3580,194900
7650,2240,180100
10950,1555.7,149600
9000,1604.75,145700
7772,1502.85001,142900
8052,1378,141300
7500,2586,195400
7500,2586,195400
7750,2560,190800
7600,1830.5,115800
7600,1830.5,115800
7250,3602.5,175100
5400,3000,40500
5400,3000,40500
11810,2583.60001,186200
11592,3840,234100
11592,3840,234100
19175,5982.5,261900
7550,1397,150600
6750,3732,192600
5670,3886,222500
5383,1622.5,144100
9766,2392,152900
8344,2596.00001,162300
12000,2480,168300
13770,1362,140000
5842,3525,182300
11100,2338,149300
11100,2338,149300
6850,3105,167100
6165,2889,195700
7300,1682,106200
7350,1532,156000
7400,1441,147700
7450,2930.40001,197800
7450,2930.40001,197800
8200,2985,213300
9150,2961,165400
7500,1596,153600
7950,3312.80001,209500
7500,1264,130100
7750,2560,190800
7600,1830.5,115800
7500,1180,118800
6650,948,129400
5400,3000,40500
11810,2583.60001,186200
7550,1841,154500
7550,1841,154500
11592,3840,234100
12800,5736,269200
12800,5736,269200
19175,5982.5,261900
6100,3815,213300
6868,1520,94700
5670,3886,222500
4500,2596,153200
6350,2964,169100
7000,3005,178800
7000,2760,193800
7000,2760,193800
7000,2760,193800
7000,2743.20001,191600
7595,4038,285200
0,7518,313500
0,5292,229600
1872,900,87100
6576,1164,91100
5740,1693.60001,93600
2035,750,76200
9500,2784,165800
9600,2784,171700
9950,2784,112500
4601,1156,90100
4601,1156,90100
4265,1128,77200
4644,1388.00001,103000
6240,1112,96700
11043,2184,136700
0,8397.47,353400
6000,2254,150300
8550,6466,180100
4000,5346,140600
6000,3804,205100
12000,2480,168300
12000,2985,147500
15350,2464,157200
6850,1568,142800
0,2592,189100
6165,2889,195700
7000,2743.20001,191600
7595,4038,285200
0,7518,313500
0,3304,179200
0,3276,179200
0,5292,229600
6576,1164,91100
2035,750,76200
2035,750,76200
9500,2784,165800
4601,1156,90100
4601,1156,90100
4260,1156,77200
2394,978,68200
6240,1112,96700
7300,3696,194600
10875,3117.5,178400
6600,4104,180000
0,5697.72,325900
7500,1559.25,126100
7500,1395,71300
7500,2164.80001,145700
11385,4866,246700
11385,4866,246700
6265,3444,207500
4960,2164,157800
7750,1472,138900
11360,1882,121300
11360,1882,121300
0,5916,229600
5605,3192,180500
7500,3569.5,192700
7500,3569.5,192700
7500,3972,212800
5436,3675,187200
9000,1860,148500
9639,3619,198500
9639,3619,198500
9300,2458,142900
7650,1139,78800
7650,1694,136000
7650,1694,136000
8550,6466,180100
4000,5346,140600
6100,3450,143800
10875,3117.5,178400
6150,3429,168900
5375,1802.25,140700
5375,1802.25,140700
7865,3078,136600
7500,1559.25,126100
8250,1746,132800
7500,1395,71300
11385,4866,246700
8700,4592,229000
9000,7716,330300
11360,1882,121300
0,9704,427300
6450,3744,214100
6780,6691.5,267400
9000,1860,148500
9639,3619,198500
7650,1139,78800
0,5043,91796
15550,3678,103800
0,6837,207900
5500,1232,127800
5494,1384,114700
11305,3647,218500
5585,1155,134000
5225,1232,123700
5225,1232,123700
5500,1232,127800
5494,1384,114700
3480,1408,116200
3640,1408,118600
5220,2656,221700
5000,1776,132500
5000,1776,132500
6665,2855,160700
0,3311,175800
0,3311,175800
0,3311,175800
6800,1536,126200
8790,3638.25,181800
8790,3638.25,181800
6345,3951,129700
0,10700,328300
32395,18897,744900
32395,18897,744900
5400,3197,158300
5400,3197,158300
7950,3990,182100
9639,2637.5,188900
3560,1408,131900
8190,3318,188400
6665,2855,160700
0,3311,175800
3960,1477.80001,138800
6345,3951,129700
32395,18897,744900
32395,18897,744900
5000,3927,192400
5000,3927,192400
9000,4042.5,209200
9639,2637.5,188900
8255,2726,192800
6250,2900,191300
5900,1273,136200
5900,1273,136200
5900,1273,136200
7314,2329.80001,169300
5750,801,115000
5750,3542,207900
5750,3341.25,192500
7500,3684.00002,231200
7500,3370,214800
8400,3130,215200
6000,1290.6,126100
6780,2912,195000
8639,1322,151900
8639,1322,151900
5750,1790,171800
5750,801,115000
11250,4797.25,280000
6946,2334,190500
7525,2284,169700
6000,1290.6,126100
7250,1772,139300
6072,2756,222800
12250,3273.5,249000
6060,1470,123700
6000,1050,140300
6000,1050,140300
6000,1050,140300
6000,1048,137500
8640,3244,170900
18160,1769,511500
9500,1568,155600
9500,1568,155600
9500,1756,152700
9500,1756,152700
9500,1955,153200
7150,3097,187200
9048,1634,151000
7095,1832,168700
7095,1832,168700
7314,1667,144600
10800,4181,231800
6300,1036,113400
6300,1036,113400
6000,1050,140300
6600,3087,185600
6600,3087,185600
18160,1769,511500
9500,1594,144500
9500,1594,144500
9500,1955,153200
9500,1955,153200
9850,3072.5,226900
4575,1754,159700
7150,2952.5,190800
9048,1634,151000
7500,2656,203600
7810,1638,160300
10880,1896,169700
7155,1834,158600
7155,1834,158600
7550,2524,188300
7300,1510,143400
6350,2594,198100
6095,2478,215300
6350,1350,148300
7095,1832,168700
7500,3588,177100
6800,1773.62,162000
6800,1773.62,162000
6800,1773.62,162000
10880,1896,169700
10880,1896,169700
7155,1834,158600
7400,1658.00001,142500
7296,2654,205100
6060,2836,203100
6350,1350,148300
6350,1530,128900
5625,3241.60001,202200
5000,1041.60001,124000
6250,2386,189500
6250,3026.40001,215600
6500,2772,209100
6500,2772,209100
4550,3744,173900
9000,3770.25,204200
5500,3432,189600
6580,3375,171500
6580,3375,171500
7500,3450,180000
7630,2829.60001,187800
0,15012,510300
6350,2537,190400
5922,2680,170600
5264,2626,154600
5264,2626,154600
6250,2604,201600
6250,3026.40001,215600
6000,3052.40001,189900
6000,3038.40001,173200
6500,2772,209100
6450,3146.40001,194800
5450,1200,162200
5000,1420,130500
5500,3432,189600
5500,3432,189600
5000,3636,202000
0,3348,198400
0,4537.5,181300
0,3102,196200
0,15012,510300
61420,39634,1350300
7140,6181,325800
6150,1302,131900
6300,1480,143000
7050,3588,192100
7050,3588,192100
5640,2344,182100
5560,2520,155700
7500,2616,203100
7500,3104,204400
2930,1436,82100
6450,1716,130000
7050,3588,192100
7050,3588,192100
6500,964,118100
5640,2344,182100
7400,4032,180700
7100,2388,85900
7965,2970.5,160000
5610,5700,189400
6300,3120,171500
0,3118,198400
6120,1255,124000
7500,1096,143000
5725,1550,135400
4900,1040.20001,145700
4900,1040.20001,145700
10000,1547,150200
5000,1006.25,129900
5000,1041.60001,124000
5000,1716,141500
7705,7980.31,567700
6440,2856.00001,180900
7965,2970.5,160000
7160,1400,136800
9281,3150,131900
6363,1068,119300
6363,1068,119300
5000,1318,127300
4900,1040.20001,145700
4900,1040.20001,145700
5000,1006.25,129900
5000,3489.8,203500
5000,1776,158500
4800,1600,143400
4800,1600,135700
5000,1041.60001,110700
7850,4023,165900
0,6516,197000
6713,3588,160000
6183,3510,197200
0,6525,222100
77972,60786,1018600
5300,3291.5,186700
5300,3291.5,186700
6844,3710.5,193900
5980,3041,270700
7000,3726,188900
0,4158,198400
7500,3354,180700
7100,9333,530100
6096,3666,193200
0,9486,370200
16330,7537,254800
6900,3492,176800
6900,3492,176800
5300,3291.5,186700
7769,2600,126600
5450,3498.5,195000
6500,3508,177100
6750,2370,165000
6040,1752,142500
7500,3481.25,180900
17870,1888.80001,143000
9000,2950,166800
6960,3390.00001,186000
6960,3966,191400
7250,2421.25,157300
7250,3558.5,161800
7500,2796,157300
11130,3851,186500
6500,3508,177100
7500,3117.5,173400
6040,1752,142500
10490,10236,539700
0,9072,607600
6865,3796.5,179200
7500,3047.5,150600
7500,840,104500
7250,1351,158500
6140,2760,105800
9000,2950,166800
9000,2950,166800
8234,2530,120100
6960,3022.5,168200
4275,2197.5,148500
4964,1920.00001,143200
7500,2796,157300
7500,3714,185000
7500,2612.8,215100
9341,2584,202400
0,8232,426800
5250,3492,158900
5250,3510,170100
0,5529,326600
15000,2655,167700
3800,2750,140200
11484,3729,190600
0,8238,350900
5200,3510,180700
0,9816,390400
7875,2732,199600
8900,2619,274800
3415,2904,129000
3415,2904,129000
6895,3726,161700
3125,2835,73500
3125,2835,74700
6250,3203,151300
4825,3861,168200
7500,2117.00001,156500
7500,2117.00001,156500
7500,3518,166400
7500,3518,166400
7500,3250,170000
3540,2748,132400
7700,3324.75,156200
4059,3341.5,132100
4059,3341.5,132100
4060,3668,152100
8225,3457.5,164200
7800,2732,199300
7800,2732,199300
7775,2732,199400
3456,2662,126900
3456,2662,126900
6895,3726,161700
7503,13424,119880
5915,3588,153200
3125,2835,73500
3125,2835,74700
4840,3861,185900
19250,3256.11,350300
7500,3518,166400
8480,4026,177700
8480,4026,177700
4060,3668,152100
0,14131.95,674000
4672,2145,109000
7840,2230,148500
4140,2053.40001,127400
4140,2053.40001,127400
7550,3223,134200
8600,3954,166300
7365,1764.00001,135100
6040,2375,150300
13600,3691.20002,194100
7500,3037.5,158200
6750,1676.00001,124500
7500,1798,142000
7840,2230,148500
8160,2469.5,162300
8160,2469.5,162300
8368,3494.25,160700
8368,3494.25,160700
4140,2031.00001,129400
5200,3055,153000
0,6048,72000
6280,3576,173600
6120,3936,178000
5960,3573,176500
6400,3386,145100
5043,3388,160900
5043,3388,160900
7640,4293,185200
0,25803,481100
7125,1211,96300
5425,3410,170600
4687,2375,124400
15640,1496,458300
6810,2846.40001,162900
4555,3525,56200
4555,3525,56200
4555,3525,56200
3890,2160,136800
0,5235,217500
7500,2514,149600
7500,2514,149600
0,5553,207900
2790,1365,70900
0,5146,197000
7500,2457.60001,147200
7750,3169,178600
7500,3696,160300
6726,4215,175200
5980,3899,165700
8320,6196,314100
8320,6196,314100
7725,1558,138200
8810,2257.5,178700
6900,1776.00001,143000
7500,2217.60001,161900
7600,3239.5,174400
5250,768,120300
4910,672,107400
4880,3513,200900
0,5733,334500
0,3024,160000
0,4950,188500
0,3840,179200
0,3840,179200
0,3840,179200
0,3840,179200
0,5624,279400
6200,2382,159900
6200,2382,159900
6200,2382,159900
6250,1680,126600
6300,930,118400
5050,2392,168200
3125,1386,93300
3125,1048,109400
3125,1048,109400
6050,1164,123900
5500,720,111400
5500,2640,158900
7500,3836,199000
4950,1260,138100
4950,1260,138100
7350,720,120900
7215,1752,162900
6300,2150,190500
5950,1534.00001,155200
5750,1498.5,159500
6500,1480,150700
6500,1859,140500
6500,1859,140500
9216,3120,189200
6000,2281.20001,163300
8450,1914,167200
5500,1152,137600
5500,1248,162600
5500,1567.4,154000
5500,1250.5,156100
5500,1250.5,156100
5500,1250.5,156100
5500,1250.5,156100
5500,1966,172900
5500,2480,179300
5500,1516,163600
5500,1352,144000
5500,1050,135700
5500,980,137200
5500,1260,133900
5500,1902,171900
5500,1902,171900
6850,1544,149300
7500,3326.40001,204700
7500,1925.00001,176500
7500,1925.00001,176500
7350,1386,148100
7350,1386,148100
0,6324,255700
0,6324,255700
5000,1116,151600
5050,2962.5,155000
5050,2962.5,155000
5100,0,111300
5150,1024,116100
7900,3858,198400
0,5952,178600
8050,2390,175300
5000,720,114000
6100,2520.00001,179300
5000,3780,190600
5406,2312.80001,184300
5406,2312.80001,184300
6350,3092.5,137700
6350,3092.5,137700
6800,3255,251700
7625,3983,241100
7000,2997.60001,200800
7000,2997.60001,200800
10273,3108.5,199700
0,8820,446500
5000,1103.20001,146100
8540,3668,215300
5050,1188,151400
4545,3726,224600
5250,3726,214400
5050,1256,136700
4850,1260,148200
6960,3348,195500
4920,3666,174300
6200,3492,167900
0,8403,401800
6864,1392,103300
6250,2829,146700
0,5376,207900
0,5376,207900
0,3300,219900
6007,2395,140000
13026,2460,154900
7500,2877.5,78800
7500,2877.5,78800
7500,2877.5,78800
7500,2877.5,78800
0,6048,72000
0,6912,95200
5720,3510,198800
5130,3936,178200
9200,3852,175000
7940,3936,181200
4040,3169.5,164100
4040,3169.5,164100
4920,3459,145500
7950,2396,197500
7950,2396,197500
6525,4462.20001,177900
6370,5042,122400
6370,5042,122400
6370,5042,122400
6370,5042,122400
6650,1350,131200
6650,1350,131200
6650,1350,131200
6650,1350,131200
7460,2803.20001,160800
3046,3747,109400
0,6120,229600
0,23820,1082100
5850,2510,146200
4960,2816.40001,165700
7500,2875,170800
7500,3476,178600
6000,3504,179500
6300,2940,166500
6285,2370,156400
8000,2612.40001,133000
8000,2371.3,152000
6250,1322,121000
3800,3162.5,162200
4995,982.5,101500
9984,3940,178700
9984,3940,178700
9960,2360.20001,147000
8350,2665.5,147700
6480,2872.5,163000
16560,8778,487200
7500,2884,196000
7750,3169,178600
8176,2625,171500
6890,2700.75,55300
8730,912,114800
8730,912,114800
7740,3132.5,181700
7700,3154,182100
5989,3561,176500
10036,4020,194400
6912,3096,170700
7400,5400,301100
7610,1626,136500
8393,8388,105100
6150,3404,177800
2000,1280,68600
4770,3232.5,174600
5740,3062.5,175500
0,5916,252900
7500,5670,230000
0,6048,89200
0,6048,197000
0,7044,263600
0,7044,263600
0,4680,167600
7500,1393.5,112800
7500,2071.20001,146300
0,9271.24,453600
6450,4974.5,176400
5712,2546.5,162100
0,7215,259400
0,7215,259400
8810,2257.5,178700
6900,1776.00001,143000
7600,3239.5,174400
7150,2831,173600
7500,2415.20001,157400
0,4501.2,189000
0,4501.2,189000
6111,720,115700
5467,1290.75,125000
2430,3693,182600
6150,3354,171400
6629,3432,182300
0,3024,170000
0,3024,170000
0,3024,160000
7400,4464,220800
7400,4464,220800
7600,2600,169500
7600,2600,169500
10500,3762,198200
10353,3588,178900
6260,2933.60001,210300
0,3840,179200
0,3840,179200
0,3840,179200
0,3840,179200
6250,3240,170600
6250,1888,134000
6700,1933.60001,138600
6200,2802.5,157000
6200,2802.5,157000
6200,2382,159900
7500,6512,286100
8060,1689.60001,153600
8245,3588,180600
8750,2373.20001,145800
8750,2373.20001,145800
8750,2373.20001,145800
6200,1225.60001,120300
3125,1048,109400
6000,3899.00001,237700
0,3776,185800
5500,1886.40001,131000
5500,2472.5,134800
9880,1786,179700
7860,1363,144800
6550,3744,178800
5250,1456.00001,135700
5850,2496,152300
6023,3660,197400
4950,1260,138100
6050,2338,208700
6050,2338,208700
6050,2338,208700
6050,2338,208700
6300,2150,190500
6400,2200,190300
5750,1498.5,159500
5750,1498.5,159500
6500,1814.75,150400
6500,1944,170300
6500,1917.60001,163600
6510,1492.5,143300
13780,1243,172700
8840,1544,154600
6780,2870.40001,186700
5700,900,129100
5650,1792.4,148600
6100,1374.25,149300
7980,2180,166700
6350,1384,145800
5500,1148,162000
5500,1528,149300
5500,1152,137600
5500,1487,143100
5500,1724.00001,144500
5500,1724.00001,144500
6050,1591.75,149000
6050,1591.75,149000
5130,3575,167400
0,3768.5,65000
10200,3272.5,161800
8260,3597.5,213000
4925,1792,113700
4925,1792,113700
9050,3240.25,71100
3498,3144,138400
0,4467,192100
0,27201,1462000
0,25758,1601600
20100,8168,463400
20100,8168,463400
0,6933,229000
6600,1636.5,160400
5500,1986,151500
5500,1250.5,156100
5500,1652,158900
5720,1536,158200
5500,2480,179300
5500,1800,171200
5500,1352,144000
5500,1672,190100
5500,1672,190100
5500,1050,135700
5500,980,137200
5500,1902,171900
5500,1288,139400
5500,1814,192600
5500,1814,192600
11250,1333,176100
11250,1333,176100
6700,1230.00001,148800
6700,1230.00001,148800
5000,1040.20001,133800
5000,1040.20001,133800
5000,1041.60001,139300
5000,1087,146000
5000,1192,137900
5000,2930,159500
5000,2930,159500
0,6933,229000
76230,19275,580300
0,6268,251100
10000,3789,202100
0,3374,95400
80624,25300,1191900
4924,3753,188200
4924,3753,188200
36250,7000,377300
1445884,210685,16257300
95396,19383,883800
30012,5040,172300
5000,2930,159500
5000,2930,159500
5000,3300,209700
0,11280,349200
0,11280,349200
7900,3858,198400
0,1824,150000
5000,720,114000
4000,1280,187100
4900,2520,190200
5406,2312.80001,184300
5000,2291.5,156600
